Parameter Order,Rear Window Length (mm),Wind Shield Length (mm),Roof Length (mm),Rear Window Angle (70-85) ,Wind Shield Angle (50-65)(derece),Cd
0,706.46,677.49,2493.97,77.73,58.19,0.52950863
1,702.64,737.94,2408.67,79.26,51.28,0.63061119
2,706.71,672.04,2503.29,77.64,58.95,0.52171245
3,703.59,658.67,2545.33,78.86,60.94,0.52851076
4,700.49,656.7,2566.46,80.23,61.25,0.52464355
5,699.07,662.36,2563.52,80.93,60.37,0.51519594
6,693.82,660.14,2608.72,84.25,60.71,0.49589345
7,727.69,652.62,2463.73,71.56,61.91,0.56165382
8,702.59,742.0,2402.44,79.28,50.89,0.65016946
9,712.69,725.33,2382.93,75.61,52.54,0.60638174
10,697.32,658.03,2584.08,81.88,61.04,0.51403148
11,694.99,727.86,2475.52,83.36,52.28,0.57236547
12,708.72,742.85,2371.4,76.92,50.81,0.66376679
13,702.0,677.58,2516.49,79.54,58.18,0.51864523
14,705.21,707.21,2446.43,78.21,54.5,0.55984856
15,696.21,646.69,2616.43,82.55,62.91,0.52506004
16,705.52,748.31,2377.6,78.09,50.3,0.69049506
17,712.88,701.49,2422.56,75.55,55.16,0.56140916
18,706.55,732.54,2397.77,77.7,51.81,0.62085375
19,731.84,663.02,2429.43,70.61,60.27,0.55169424
20,726.56,749.07,2295.44,71.83,50.23,0.72304893
21,697.23,708.8,2489.9,81.93,54.32,0.54488962
22,698.38,743.59,2424.86,81.29,50.74,0.64193677
23,722.41,654.33,2477.38,72.86,61.63,0.55435943
24,706.04,653.29,2544.36,77.89,61.8,0.53440183
25,706.76,686.73,2475.35,77.62,56.97,0.53154442
26,703.35,637.73,2592.26,78.96,64.53,0.5642483
27,715.39,737.94,2351.92,74.79,51.28,0.65169943
28,696.98,664.28,2573.82,82.08,60.08,0.50742391
29,713.04,635.89,2552.72,75.5,64.88,0.58229849
30,703.06,708.35,2455.36,79.08,54.37,0.55898139
31,693.28,641.84,2653.6,84.71,63.77,0.51934249
32,693.99,719.21,2498.95,84.11,53.18,0.54344466
33,704.67,683.19,2491.96,78.42,57.43,0.52480357
34,728.25,661.18,2444.2,71.43,60.55,0.55302
35,720.65,642.39,2509.42,73.32,63.67,0.57677286
36,704.27,655.39,2548.62,78.58,61.46,0.53145823
37,708.09,638.37,2567.87,77.14,64.41,0.56686449
38,708.49,638.05,2566.83,77.0,64.47,0.56845857
39,693.6,728.85,2486.96,84.43,52.18,0.56843791
40,727.52,697.78,2377.33,71.6,55.6,0.5714862
41,695.44,691.88,2533.36,83.05,56.32,0.51140982
42,704.88,649.32,2558.51,78.34,62.46,0.53970203
43,696.66,739.7,2443.09,82.27,51.11,0.62052998
44,729.71,659.69,2442.67,71.09,60.78,0.55630075
45,699.13,660.79,2566.34,80.9,60.61,0.51681591
46,709.01,665.55,2505.65,76.82,59.89,0.52764899
47,731.66,662.36,2431.3,70.65,60.37,0.55255861
48,718.44,645.95,2509.35,73.92,63.04,0.56364921
49,724.39,711.75,2363.22,72.36,53.99,0.59478049
50,693.93,677.73,2573.05,84.16,58.16,0.49152465
51,703.76,647.16,2568.87,78.79,62.83,0.54282
52,700.24,720.72,2450.27,80.35,53.02,0.5753
53,696.08,645.6,2619.81,82.63,63.1,0.52761
54,709.04,736.29,2380.45,76.81,51.44,0.63508
55,722.26,681.0,2425.13,72.9,57.72,0.5462
56,696.71,658.54,2587.46,82.24,60.96,0.51171
57,717.05,718.28,2377.82,74.31,53.28,0.59201
58,703.54,643.62,2577.82,78.88,63.45,0.55096
59,730.9,730.63,2311.24,70.82,52.0,0.64253
60,712.91,726.01,2380.91,75.54,52.47,0.60855
61,711.03,711.66,2412.56,76.14,54.0,0.57737
62,698.92,717.9,2463.14,81.01,53.32,0.56346
63,733.94,685.34,2380.23,70.15,57.15,0.55818
64,701.02,720.35,2446.31,79.98,53.06,0.57562
65,708.8,720.06,2407.98,76.89,53.09,0.58557
66,718.98,644.47,2510.67,73.77,63.3,0.56845
67,693.04,728.45,2493.68,84.93,52.22,0.56301
68,697.6,748.74,2422.06,81.72,50.26,0.67218
69,720.92,710.31,2377.42,73.25,54.15,0.58661
70,697.13,707.91,2492.16,81.99,54.42,0.54319
71,705.34,717.25,2428.73,78.16,53.39,0.574
72,701.82,636.57,2603.2,79.62,64.75,0.56501
73,698.53,685.03,2523.26,81.21,57.19,0.51699
74,696.32,651.59,2604.97,82.48,62.08,0.51807
75,718.22,708.44,2390.18,73.98,54.36,0.57925
76,723.12,742.0,2317.85,72.68,50.89,0.68173
77,723.83,647.27,2487.77,72.5,62.81,0.56933
78,705.34,720.16,2423.88,78.16,53.08,0.58236
79,706.58,670.7,2506.52,77.69,59.14,0.52277
80,722.26,677.8,2431.15,72.9,58.15,0.54313
81,706.17,716.6,2425.79,77.84,53.46,0.57534
82,695.01,666.43,2585.08,83.35,59.76,0.49913
83,714.25,651.89,2512.16,75.13,62.03,0.549942
84,712.4,743.06,2355.5,75.7,50.79,0.66925
85,706.55,655.89,2536.51,77.7,61.38,0.53272
86,713.33,727.86,2376.2,75.41,52.28,0.61428
87,722.57,654.64,2476.2,72.82,61.58,0.55353
88,696.16,693.66,2524.41,82.58,56.1,0.5172
89,734.4,637.62,2476.62,70.05,64.55,0.59862
90,724.88,738.56,2317.5,72.24,51.22,0.66757
91,712.66,649.15,2524.36,75.62,62.49,0.54995
92,705.21,723.2,2419.45,78.21,52.76,0.58939
93,693.97,660.27,2607.0,84.13,60.69,0.49629
94,696.43,644.47,2619.64,82.41,63.3,0.53081
95,696.73,664.15,2575.93,82.23,60.1,0.50662
96,705.21,687.67,2481.06,78.21,56.85,0.52942
97,711.16,731.43,2379.24,76.1,51.92,0.62468
98,694.95,676.85,2565.33,83.39,58.28,0.49683
99,693.2,641.56,2655.07,84.78,63.82,0.51873
100,704.08,738.87,2399.67,78.66,51.19,0.63897
0,706.46,677.49,2493.97,77.73,58.19,0.52874
